"","logFC","negLogPval","Gene"
"1",-4.82950737813325,28.7677158223776,"AGR3"
"2",-2.46999879740987,19.0458739628732,"DNALI1"
"3",-3.07261109603343,18.7013765813935,"CAPN8"
"4",-2.05828038691905,18.4915469437929,"C6orf97"
"5",-2.0362421603863,18.4470305532861,"GPR77"
"6",-3.49297283943527,18.2728937120118,"SERPINA11"
"7",-2.79541189801888,18.0886224738121,"FSIP1"
"8",-3.83647855810809,18.0886224738121,"TFF3"
"9",-2.01611392236775,17.8173587985875,"CACNA2D2"
"10",-2.90075396923545,17.290921369653,"SYTL5"
"11",-2.60816612754738,17.2679865279782,"FLJ45983"
"12",-4.45051263031937,17.2326429407658,"TFF1"
"13",-2.32103735140456,17.2088718911014,"PRR15"
"14",-2.55034655861974,17.0708515470596,"LOC145837"
"15",-2.36533686781737,16.7571258432451,"DACH1"
"16",-3.70761640589768,16.5959818520111,"C1orf64"
"17",-2.33710550155614,15.982522327195,"KCNK15"
"18",-2.65356509054482,15.6461126083001,"NAT1"
"19",-3.17177960939717,15.6311322324409,"ANKRD30B"
"20",-2.45437274988468,15.6311322324409,"MAPT"
"21",-2.7810765064092,15.593719328452,"ERBB4"
"22",-3.40001509214837,15.5488141402997,"ESR1"
"23",-3.0863420769739,15.5180504066921,"SYT9"
"24",-2.44583964676613,15.0950731609209,"TSPAN1"
"25",-2.71001444071275,15.0950731609209,"NEK10"
"26",-2.01872750464251,15.0485506883877,"ZMYND10"
"27",-2.13133334576767,14.7193588023521,"DNAJC12"
"28",-3.07415056050853,14.6852114216128,"ABCC8"
"29",-2.51205419972747,14.6218035942752,"BCAS1"
"30",-2.86941441409973,14.4375009486393,"SLC44A4"
"31",-2.30895653118784,14.337042828795,"CT62"
"32",-3.54833751773825,14.337042828795,"AGR2"
"33",-3.50986447146417,14.3107908394014,"GP2"
"34",-2.82817678607083,14.1856284278894,"CHAD"
"35",-3.07428271735626,14.1462355663162,"PGR"
"36",-2.33326926152632,13.6899917133181,"GRIK3"
"37",-2.18894234551622,13.5884293282498,"DEGS2"
"38",-2.90759909963533,13.539897554824,"SCUBE2"
"39",-2.36771086735635,13.3918788536613,"LOC100130148"
"40",-2.42902095239282,13.3139546785038,"AKR7A3"
"41",-2.52426438012232,13.0806530591882,"TTC36"
"42",-2.68543440348754,12.871517944969,"PTPRT"
"43",-2.06964486740429,12.6649708652178,"ADAMTS15"
"44",-2.03107435559176,12.6405259850208,"GATA3"
"45",-2.24656068502407,12.6315534586455,"IGFALS"
"46",2.01808621328024,12.581967904516,"FZD9"
"47",-2.10745368992683,12.549767180379,"GREB1"
"48",-3.51369080146489,12.3792524453399,"ANKRD30A"
"49",-2.41899259413181,12.3240076893674,"CA12"
"50",-2.61155408347104,12.2985518390486,"FOXA1"
"51",-2.32752692477976,12.2802388871683,"MLPH"
"52",-2.40139155561675,12.1842342895686,"TMPRSS6"
"53",-2.18866675821198,12.172640938268,"AFF3"
"54",-2.18479573191354,12.0758955091659,"F7"
"55",-2.34692070952793,11.9863976186038,"LOC100128977"
"56",-2.88392219478535,11.9863976186038,"C20orf114"
"57",-2.62088067714672,11.8203186007539,"PGLYRP2"
"58",-2.2982167349443,11.6466382498248,"TPRG1"
"59",-2.37220544192962,11.5297505347924,"RGS22"
"60",-2.55915558508143,11.4632353041918,"GRPR"
"61",-2.14459411717393,11.4280967939995,"AR"
"62",2.77312504282498,11.4066320246674,"ART3"
"63",-2.18448539766271,11.3358096166367,"SPDEF"
"64",-3.31228921370856,11.1513930836621,"CYP2B7P1"
"65",-2.25068615388455,11.0913356233662,"SERPINA5"
"66",-2.42005023501922,11.0061740778389,"LOC728606"
"67",-2.80960177945225,10.9708298750044,"GFRA1"
"68",-2.48532626242983,10.5543978166153,"EEF1A2"
"69",-2.36534189453506,10.5543978166153,"SLC7A2"
"70",-2.16936506569899,10.4884357406927,"TUBA3E"
"71",-2.10553609977341,10.4115742075405,"LRG1"
"72",-2.18311711714211,10.4031939162503,"CYP4B1"
"73",-2.58998480931788,10.3330343833695,"CYP4Z2P"
"74",2.10632147413246,10.2132808317375,"CXorf49B"
"75",2.50812236656448,10.0692640474752,"CXorf61"
"76",-2.92382057405797,9.94236801957372,"KCNC2"
"77",2.69427912913805,9.72262001736065,"HORMAD1"
"78",2.26974266632666,9.60914473084967,"IL12RB2"
"79",-2.16066181150053,9.592097220482,"MS4A8B"
"80",2.09922198266455,9.57328383975563,"TCAM1P"
"81",-2.05438432783064,9.31720339421515,"SYT1"
